Customer_ID,Age,Gender,City,Purchase_Amount,Segment,Signup_Date
CUST10000,,female,Mumbai,,,06-16-24
CUST10001,46,Female,Hyderabad,12527,Premium,11-18-25
CUST10002,32,male,Hyderabad,46650,VIP,11-05-24
CUST10003,60,male,Mumbai,20666,Premium,04-23-25
CUST10004,25,Female,Chennai,2330,,02-25-24
CUST10005,38,Female,Bangalore,6611,Regular,09-11-25
CUST10006,56,female,Hyderabad,49380,VIP,04-17-25
CUST10007,36,Female,Bangalore,42329,Premium,10-22-24
CUST10008,40,Female,Mumbai,26277,Premium,04-05-25
CUST10009,28,,Chennai,4865,Premium,11-19-24
CUST10010,28,Male,Chennai,20454,Regular,05-20-24
CUST10011,41,Male,Chennai,24029,VIP,10-28-25
CUST10012,53,Female,Mumbai,28920,Regular,09-18-24
CUST10013,57,,,46140,Regular,02-23-25
CUST10014,41,Male,,29623,Regular,08-28-24
CUST10015,20,Male,Bangalore,5652,,12-20-24
CUST10016,39,Male,,727,,08-11-25
CUST10017,19,Male,,12089,,06-28-24
CUST10018,41,Male,Chennai,13880,VIP,03-06-24
CUST10019,61,Female,Chennai,6689,Regular,12-13-24
CUST10020,47,Female,Bangalore,34912,Regular,06-19-24
CUST10021,55,Male,Hyderabad,28228,,04-18-25
CUST10022,19,Female,Bangalore,46039,Regular,06-17-25
CUST10023,38,Male,Bangalore,38752,Regular,01-01-25
CUST10024,50,Female,Mumbai,27890,Premium,04-16-24
CUST10025,29,Female,Mumbai,41053,Regular,03-14-25
CUST10026,39,male,Bangalore,349,Premium,08-14-24
CUST10027,61,Male,Bangalore,19409,Regular,03-19-25
CUST10028,42,Female,Bangalore,26001,VIP,03-17-25
CUST10029,44,Male,,23676,,01-30-25
CUST10030,59,female,Mumbai,31608,Premium,08-03-25
CUST10031,45,male,Bangalore,9275,,03-24-24
CUST10032,33,Female,Chennai,25564,Premium,09-06-25
CUST10033,32,Male,Chennai,16360,Premium,07-04-25
CUST10034,64,,,35540,Premium,01-13-24
CUST10035,61,Male,,29646,VIP,11-23-25
CUST10036,20,Male,Hyderabad,40147,Regular,05-07-25
CUST10037,54,Female,Hyderabad,41530,Premium,09-24-24
CUST10038,24,Male,Hyderabad,2087,VIP,06-08-25
CUST10039,38,,,49342,Premium,04-29-24
CUST10040,26,female,,,Regular,12-18-24
CUST10041,56,Male,,13048,Premium,02-26-24
CUST10042,35,Female,Chennai,13126,VIP,02-09-24
CUST10043,21,,,2873,Regular,12-01-24
CUST10044,42,female,Chennai,46027,VIP,10-01-25
CUST10045,31,male,Hyderabad,9978,Regular,06-21-24
CUST10046,26,,Hyderabad,43046,Regular,06-30-25
CUST10047,43,,Hyderabad,10477,,09-15-24
CUST10048,19,male,Bangalore,7447,,05-31-25
CUST10049,37,Male,Bangalore,33876,,06-06-25
CUST10050,45,Female,Mumbai,3883,Regular,04-26-24
CUST10051,64,female,Mumbai,4398,Premium,07-02-24
CUST10052,24,Male,Mumbai,4768,VIP,04-25-24
CUST10053,61,female,Bangalore,20771,VIP,06-10-24
CUST10054,25,Male,Bangalore,34920,VIP,08-01-25
CUST10055,,Male,Mumbai,34584,,06-26-25
CUST10056,52,Female,Mumbai,33178,Regular,08-09-25
CUST10057,31,Male,,47259,,08-24-24
CUST10058,34,,Mumbai,21022,Premium,03-06-24
CUST10059,53,female,,34128,Regular,03-10-24
CUST10060,57,female,Chennai,46025,VIP,03-22-25
CUST10061,21,male,Bangalore,20416,,02-19-25
CUST10062,19,Male,Mumbai,11560,,06-15-25
CUST10063,23,Female,Bangalore,17068,Premium,03-16-25
CUST10064,59,Female,Bangalore,30366,Premium,04-08-25
CUST10065,21,Female,Bangalore,30309,,01-30-25
CUST10066,46,Male,Chennai,24100,Premium,07-04-25
CUST10067,35,Female,Hyderabad,14111,VIP,10-18-25
CUST10068,43,Female,Mumbai,2966,Premium,07-10-25
CUST10069,61,,Hyderabad,47233,Premium,01-29-25
CUST10070,51,female,Hyderabad,5998,,11-21-24
CUST10071,27,Female,Hyderabad,18495,,03-31-24
CUST10072,53,male,Bangalore,39119,Regular,03-10-24
CUST10073,31,male,,37807,Regular,06-14-24
CUST10074,48,Male,Bangalore,4106,,10-03-25
